date,day_of_week,month,week_of_year,is_weekend,season,temperature,aqi,outbreak_index,mobility_index,population,population_density,elderly_ratio,hospital_id,hospital_capacity,icu_capacity,admissions
2018-01-01,0,1,1,0,winter,20.0,120.0,50.0,70.0,300000,4000,0.08,HOSP_1,300,54,113
2018-01-02,1,1,1,0,winter,20.01,120.69,50.98,74.33883739117559,300000,4000,0.08,HOSP_1,300,54,109
2018-01-03,2,1,1,0,winter,20.01,121.38,51.96,77.8183148246803,300000,4000,0.08,HOSP_1,300,54,105
2018-01-04,3,1,1,0,winter,20.02,122.06,52.94,79.74927912181823,300000,4000,0.08,HOSP_1,300,54,105
2018-01-05,4,1,1,0,winter,20.04,122.75,53.92,79.74927912181823,300000,4000,0.08,HOSP_1,300,54,111
2018-01-06,5,1,1,1,winter,20.05,123.44,54.9,77.8183148246803,300000,4000,0.08,HOSP_1,300,54,97
2018-01-07,6,1,1,1,winter,20.07,124.12,55.88,74.33883739117559,300000,4000,0.08,HOSP_1,300,54,93
2018-01-08,0,1,2,0,winter,20.09,124.81,56.85,70.0,300000,4000,0.08,HOSP_1,300,54,115
2018-01-09,1,1,2,0,winter,20.12,125.49,57.82,65.66116260882443,300000,4000,0.08,HOSP_1,300,54,111
2018-01-10,2,1,2,0,winter,20.15,126.17,58.79,62.1816851753197,300000,4000,0.08,HOSP_1,300,54,107
2018-01-11,3,1,2,0,winter,20.18,126.85,59.75,60.25072087818177,300000,4000,0.08,HOSP_1,300,54,107
2018-01-12,4,1,2,0,winter,20.21,127.53,60.72,60.25072087818176,300000,4000,0.08,HOSP_1,300,54,112
2018-01-13,5,1,2,1,winter,20.25,128.2,61.67,62.1816851753197,300000,4000,0.08,HOSP_1,300,54,99
2018-01-14,6,1,2,1,winter,20.29,128.88,62.62,65.66116260882443,300000,4000,0.08,HOSP_1,300,54,95
2018-01-15,0,1,3,0,winter,20.33,129.55,63.57,70.0,300000,4000,0.08,HOSP_1,300,54,116
2018-01-16,1,1,3,0,winter,20.38,130.21,64.51,74.33883739117557,300000,4000,0.08,HOSP_1,300,54,112
2018-01-17,2,1,3,0,winter,20.43,130.88,65.45,77.8183148246803,300000,4000,0.08,HOSP_1,300,54,108
2018-01-18,3,1,3,0,winter,20.48,131.54,66.38,79.74927912181823,300000,4000,0.08,HOSP_1,300,54,108
2018-01-19,4,1,3,0,winter,20.53,132.2,67.31,79.74927912181823,300000,4000,0.08,HOSP_1,300,54,114
2018-01-20,5,1,3,1,winter,20.59,132.85,68.22,77.8183148246803,300000,4000,0.08,HOSP_1,300,54,100
2018-01-21,6,1,3,1,winter,20.65,133.5,69.13,74.33883739117559,300000,4000,0.08,HOSP_1,300,54,96
2018-01-22,0,1,4,0,winter,20.71,134.15,70.04,70.0,300000,4000,0.08,HOSP_1,300,54,118
2018-01-23,1,1,4,0,winter,20.77,134.79,70.93,65.66116260882444,300000,4000,0.08,HOSP_1,300,54,114
2018-01-24,2,1,4,0,winter,20.84,135.43,71.82,62.18168517531971,300000,4000,0.08,HOSP_1,300,54,110
2018-01-25,3,1,4,0,winter,20.91,136.06,72.7,60.25072087818177,300000,4000,0.08,HOSP_1,300,54,110
2018-01-26,4,1,4,0,winter,20.98,136.69,73.57,60.25072087818177,300000,4000,0.08,HOSP_1,300,54,151
2018-01-27,5,1,4,1,winter,21.06,137.31,74.43,62.18168517531971,300000,4000,0.08,HOSP_1,300,54,136
2018-01-28,6,1,4,1,winter,21.14,137.93,75.28,65.66116260882441,300000,4000,0.08,HOSP_1,300,54,130
2018-01-29,0,1,5,0,winter,21.22,138.54,76.12,70.0,300000,4000,0.08,HOSP_1,300,54,152
2018-01-30,1,1,5,0,winter,21.3,139.15,76.96,74.33883739117557,300000,4000,0.08,HOSP_1,300,54,150
2018-01-31,2,1,5,0,winter,21.39,139.75,77.78,77.81831482468029,300000,4000,0.08,HOSP_1,300,54,141
2018-02-01,3,2,5,0,winter,21.48,140.35,78.59,79.74927912181823,300000,4000,0.08,HOSP_1,300,54,140
2018-02-02,4,2,5,0,winter,21.57,140.94,79.39,79.74927912181823,300000,4000,0.08,HOSP_1,300,54,153
2018-02-03,5,2,5,1,winter,21.66,141.52,80.18,77.8183148246803,300000,4000,0.08,HOSP_1,300,54,137
2018-02-04,6,2,5,1,winter,21.76,142.1,80.95,74.33883739117557,300000,4000,0.08,HOSP_1,300,54,132
2018-02-05,0,2,6,0,winter,21.86,142.67,81.72,70.0,300000,4000,0.08,HOSP_1,300,54,154
2018-02-06,1,2,6,0,winter,21.96,143.23,82.47,65.66116260882443,300000,4000,0.08,HOSP_1,300,54,152
2018-02-07,2,2,6,0,winter,22.06,143.79,83.21,62.18168517531971,300000,4000,0.08,HOSP_1,300,54,143
2018-02-08,3,2,6,0,winter,22.17,144.34,83.94,60.25072087818177,300000,4000,0.08,HOSP_1,300,54,142
2018-02-09,4,2,6,0,winter,22.28,144.88,84.65,60.25072087818177,300000,4000,0.08,HOSP_1,300,54,155
2018-02-10,5,2,6,1,winter,22.39,145.42,85.36,62.1816851753197,300000,4000,0.08,HOSP_1,300,54,139
2018-02-11,6,2,6,1,winter,22.5,145.95,86.04,65.66116260882441,300000,4000,0.08,HOSP_1,300,54,133
2018-02-12,0,2,7,0,winter,22.62,146.47,86.72,69.99999999999999,300000,4000,0.08,HOSP_1,300,54,156
2018-02-13,1,2,7,0,winter,22.73,146.98,87.38,74.33883739117557,300000,4000,0.08,HOSP_1,300,54,153
2018-02-14,2,2,7,0,winter,22.85,147.48,88.02,77.81831482468027,300000,4000,0.08,HOSP_1,300,54,145
2018-02-15,3,2,7,0,winter,22.97,147.98,88.65,79.74927912181823,300000,4000,0.08,HOSP_1,300,54,143
