date,time_idx,group_id,city_id,hospital_id_enc,hospital_beds,staff_count,population_density,admissions,lag_1_admissions,lag_7_admissions,rolling_14_admissions,aqi,temp,humidity,rainfall,wind_speed,mobility_index,outbreak_index,festival_flag,holiday_flag,weekday,is_weekend,aqi_forecast_1,temp_forecast_1,rainfall_forecast_1,aqi_forecast_2,temp_forecast_2,rainfall_forecast_2,aqi_forecast_3,temp_forecast_3,rainfall_forecast_3,aqi_forecast_4,temp_forecast_4,rainfall_forecast_4,aqi_forecast_5,temp_forecast_5,rainfall_forecast_5,aqi_forecast_6,temp_forecast_6,rainfall_forecast_6,aqi_forecast_7,temp_forecast_7,rainfall_forecast_7
2025-05-29,0,BENH1,2,0,72,25,11200,138,138,138,138.0,106,23.95,71.53,5,3.82,88,0.0,0,0,3,0,105,23.79,5,89,23.64,5,88,23.5,14,102,23.37,14,102,23.25,14,101,23.14,14,100,23.04,14
2025-05-30,1,BENH1,2,0,72,25,11200,137,138,138,137.5,105,23.79,71.36,5,3.8,88,0.0,0,0,4,0,89,23.64,5,88,23.5,14,102,23.37,14,102,23.25,14,101,23.14,14,100,23.04,14,100,22.96,14
2025-05-31,2,BENH1,2,0,72,25,11200,132,137,138,135.67,89,23.64,71.19,5,3.77,78,0.0,0,0,5,1,88,23.5,14,102,23.37,14,102,23.25,14,101,23.14,14,100,23.04,14,100,22.96,14,84,22.89,14
2025-06-01,3,BENH1,2,0,72,25,11200,127,132,138,133.5,88,23.5,71.02,14,3.75,78,0.0,0,0,6,1,102,23.37,14,102,23.25,14,101,23.14,14,100,23.04,14,100,22.96,14,84,22.89,14,83,22.83,13
2025-06-02,4,BENH1,2,0,72,25,11200,141,127,138,135.0,102,23.37,70.84,14,3.73,88,0.0,0,0,0,0,102,23.25,14,101,23.14,14,100,23.04,14,100,22.96,14,84,22.89,14,83,22.83,13,98,22.79,13
2025-06-03,5,BENH1,2,0,72,25,11200,149,141,138,137.33,102,23.25,70.66,14,3.71,88,0.0,0,0,1,0,101,23.14,14,100,23.04,14,100,22.96,14,84,22.89,14,83,22.83,13,98,22.79,13,97,22.76,13
2025-06-04,6,BENH1,2,0,72,25,11200,142,149,138,138.0,101,23.14,70.48,14,3.68,88,0.0,0,0,2,0,100,23.04,14,100,22.96,14,84,22.89,14,83,22.83,13,98,22.79,13,97,22.76,13,97,22.74,13
2025-06-05,7,BENH1,2,0,72,25,11200,136,142,138,137.75,100,23.04,70.29,14,3.66,88,0.0,0,0,3,0,100,22.96,14,84,22.89,14,83,22.83,13,98,22.79,13,97,22.76,13,97,22.74,13,97,22.74,13
2025-06-06,8,BENH1,2,0,72,25,11200,230,136,137,148.0,100,22.96,70.1,14,3.64,88,0.4,0,0,4,0,84,22.89,14,83,22.83,13,98,22.79,13,97,22.76,13,97,22.74,13,97,22.74,13,96,22.74,13
2025-06-07,9,BENH1,2,0,72,25,11200,130,230,132,146.2,84,22.89,69.91,14,3.61,78,0.0,0,0,5,1,83,22.83,13,98,22.79,13,97,22.76,13,97,22.74,13,97,22.74,13,96,22.74,13,81,22.76,13
2025-06-08,10,BENH1,2,0,72,25,11200,127,130,127,144.45,83,22.83,69.72,13,3.59,78,0.0,0,0,6,1,98,22.79,13,97,22.76,13,97,22.74,13,97,22.74,13,96,22.74,13,81,22.76,13,81,22.78,13
2025-06-09,11,BENH1,2,0,72,25,11200,143,127,141,144.33,98,22.79,69.52,13,3.57,88,0.0,0,0,0,0,97,22.76,13,97,22.74,13,97,22.74,13,96,22.74,13,81,22.76,13,81,22.78,13,95,22.81,13
2025-06-10,12,BENH1,2,0,72,25,11200,147,143,149,144.54,97,22.76,69.32,13,3.54,88,0.0,0,0,1,0,97,22.74,13,97,22.74,13,96,22.74,13,81,22.76,13,81,22.78,13,95,22.81,13,95,22.84,13
2025-06-11,13,BENH1,2,0,72,25,11200,135,147,142,143.86,97,22.74,69.11,13,3.52,88,0.0,0,0,2,0,97,22.74,13,96,22.74,13,81,22.76,13,81,22.78,13,95,22.81,13,95,22.84,13,95,22.88,13
2025-06-12,14,BENH1,2,0,72,25,11200,144,135,136,144.29,97,22.74,68.91,13,3.49,88,0.0,0,0,3,0,96,22.74,13,81,22.76,13,81,22.78,13,95,22.81,13,95,22.84,13,95,22.88,13,95,22.91,13
2025-06-13,15,BENH1,2,0,72,25,11200,118,144,230,142.93,96,22.74,68.7,13,3.47,88,0.0,0,1,4,0,81,22.76,13,81,22.78,13,95,22.81,13,95,22.84,13,95,22.88,13,95,22.91,13,95,22.95,12
2025-06-14,16,BENH1,2,0,72,25,11200,124,118,130,142.36,81,22.76,68.49,13,3.45,78,0.0,0,0,5,1,81,22.78,13,95,22.81,13,95,22.84,13,95,22.88,13,95,22.91,13,95,22.95,12,80,22.99,12
2025-06-15,17,BENH1,2,0,72,25,11200,124,124,127,142.14,81,22.78,68.27,13,3.42,78,0.0,0,0,6,1,95,22.81,13,95,22.84,13,95,22.88,13,95,22.91,13,95,22.95,12,80,22.99,12,80,23.02,12
2025-06-16,18,BENH1,2,0,72,25,11200,147,124,143,142.57,95,22.81,68.05,13,3.4,88,0.0,0,0,0,0,95,22.84,13,95,22.88,13,95,22.91,13,95,22.95,12,80,22.99,12,80,23.02,12,94,23.04,12
2025-06-17,19,BENH1,2,0,72,25,11200,145,147,147,142.29,95,22.84,67.84,13,3.37,88,0.0,0,0,1,0,95,22.88,13,95,22.91,13,95,22.95,12,80,22.99,12,80,23.02,12,94,23.04,12,94,23.06,12
2025-06-18,20,BENH1,2,0,72,25,11200,135,145,135,141.79,95,22.88,67.61,13,3.35,88,0.0,0,0,2,0,95,22.91,13,95,22.95,12,80,22.99,12,80,23.02,12,94,23.04,12,94,23.06,12,94,23.08,12
2025-06-19,21,BENH1,2,0,72,25,11200,141,135,144,142.14,95,22.91,67.39,13,3.32,88,0.0,0,0,3,0,95,22.95,12,80,22.99,12,80,23.02,12,94,23.04,12,94,23.06,12,94,23.08,12,94,23.08,12
2025-06-20,22,BENH1,2,0,72,25,11200,141,141,118,135.79,95,22.95,67.16,12,3.3,88,0.0,0,0,4,0,80,22.99,12,80,23.02,12,94,23.04,12,94,23.06,12,94,23.08,12,94,23.08,12,174,23.07,12
2025-06-21,23,BENH1,2,0,72,25,11200,125,141,124,135.43,80,22.99,66.94,12,3.27,78,0.0,0,0,5,1,80,23.02,12,94,23.04,12,94,23.06,12,94,23.08,12,94,23.08,12,174,23.07,12,159,23.05,12
