date,time_idx,group_id,city_id,hospital_id_enc,hospital_beds,staff_count,population_density,admissions,lag_1_admissions,lag_7_admissions,rolling_14_admissions,aqi,temp,humidity,rainfall,wind_speed,mobility_index,outbreak_index,festival_flag,holiday_flag,weekday,is_weekend,aqi_forecast_1,temp_forecast_1,rainfall_forecast_1,aqi_forecast_2,temp_forecast_2,rainfall_forecast_2,aqi_forecast_3,temp_forecast_3,rainfall_forecast_3,aqi_forecast_4,temp_forecast_4,rainfall_forecast_4,aqi_forecast_5,temp_forecast_5,rainfall_forecast_5,aqi_forecast_6,temp_forecast_6,rainfall_forecast_6,aqi_forecast_7,temp_forecast_7,rainfall_forecast_7
2025-05-29,0,NOIH1,4,0,68,24,9000,160,160,160,160.0,259,30.54,71.53,3,3.82,91,0.0,0,0,3,0,258,30.51,3,243,30.49,3,242,30.48,3,256,30.48,3,255,30.49,3,255,30.51,3,254,30.53,3
2025-05-30,1,NOIH1,4,0,68,24,9000,187,160,160,173.5,258,30.51,71.36,3,3.8,91,0.0,0,0,4,0,243,30.49,3,242,30.48,3,256,30.48,3,255,30.49,3,255,30.51,3,254,30.53,3,253,30.56,3
2025-05-31,2,NOIH1,4,0,68,24,9000,156,187,160,167.67,243,30.49,71.19,3,3.77,81,0.0,0,0,5,1,242,30.48,3,256,30.48,3,255,30.49,3,255,30.51,3,254,30.53,3,253,30.56,3,238,30.6,3
2025-06-01,3,NOIH1,4,0,68,24,9000,158,156,160,165.25,242,30.48,71.02,3,3.75,81,0.0,0,0,6,1,256,30.48,3,255,30.49,3,255,30.51,3,254,30.53,3,253,30.56,3,238,30.6,3,237,30.63,2
2025-06-02,4,NOIH1,4,0,68,24,9000,189,158,160,170.0,256,30.48,70.84,3,3.73,91,0.0,0,0,0,0,255,30.49,3,255,30.51,3,254,30.53,3,253,30.56,3,238,30.6,3,237,30.63,2,252,30.67,2
2025-06-03,5,NOIH1,4,0,68,24,9000,178,189,160,171.33,255,30.49,70.66,3,3.71,91,0.0,0,0,1,0,255,30.51,3,254,30.53,3,253,30.56,3,238,30.6,3,237,30.63,2,252,30.67,2,251,30.7,2
2025-06-04,6,NOIH1,4,0,68,24,9000,176,178,160,172.0,255,30.51,70.48,3,3.68,91,0.0,0,0,2,0,254,30.53,3,253,30.56,3,238,30.6,3,237,30.63,2,252,30.67,2,251,30.7,2,250,30.73,2
2025-06-05,7,NOIH1,4,0,68,24,9000,154,176,160,169.75,254,30.53,70.29,3,3.66,91,0.0,0,0,3,0,253,30.56,3,238,30.6,3,237,30.63,2,252,30.67,2,251,30.7,2,250,30.73,2,250,30.76,2
2025-06-06,8,NOIH1,4,0,68,24,9000,253,154,187,179.0,253,30.56,70.1,3,3.64,91,0.4,0,0,4,0,238,30.6,3,237,30.63,2,252,30.67,2,251,30.7,2,250,30.73,2,250,30.76,2,249,30.77,2
2025-06-07,9,NOIH1,4,0,68,24,9000,155,253,156,176.6,238,30.6,69.91,3,3.61,81,0.0,0,0,5,1,237,30.63,2,252,30.67,2,251,30.7,2,250,30.73,2,250,30.76,2,249,30.77,2,234,30.78,2
2025-06-08,10,NOIH1,4,0,68,24,9000,137,155,158,173.0,237,30.63,69.72,2,3.59,81,0.0,0,0,6,1,252,30.67,2,251,30.7,2,250,30.73,2,250,30.76,2,249,30.77,2,234,30.78,2,233,30.78,2
2025-06-09,11,NOIH1,4,0,68,24,9000,168,137,189,172.58,252,30.67,69.52,2,3.57,91,0.0,0,0,0,0,251,30.7,2,250,30.73,2,250,30.76,2,249,30.77,2,234,30.78,2,233,30.78,2,247,30.77,2
2025-06-10,12,NOIH1,4,0,68,24,9000,159,168,178,171.54,251,30.7,69.32,2,3.54,91,0.0,0,0,1,0,250,30.73,2,250,30.76,2,249,30.77,2,234,30.78,2,233,30.78,2,247,30.77,2,247,30.75,2
2025-06-11,13,NOIH1,4,0,68,24,9000,156,159,176,170.43,250,30.73,69.11,2,3.52,91,0.0,0,0,2,0,250,30.76,2,249,30.77,2,234,30.78,2,233,30.78,2,247,30.77,2,247,30.75,2,246,30.72,2
2025-06-12,14,NOIH1,4,0,68,24,9000,174,156,154,171.43,250,30.76,68.91,2,3.49,91,0.0,0,0,3,0,249,30.77,2,234,30.78,2,233,30.78,2,247,30.77,2,247,30.75,2,246,30.72,2,245,30.67,2
2025-06-13,15,NOIH1,4,0,68,24,9000,135,174,253,167.71,249,30.77,68.7,2,3.47,91,0.0,0,1,4,0,234,30.78,2,233,30.78,2,247,30.77,2,247,30.75,2,246,30.72,2,245,30.67,2,244,30.61,1
2025-06-14,16,NOIH1,4,0,68,24,9000,152,135,155,167.43,234,30.78,68.49,2,3.45,81,0.0,0,0,5,1,233,30.78,2,247,30.77,2,247,30.75,2,246,30.72,2,245,30.67,2,244,30.61,1,228,30.54,1
2025-06-15,17,NOIH1,4,0,68,24,9000,135,152,137,165.79,233,30.78,68.27,2,3.42,81,0.0,0,0,6,1,247,30.77,2,247,30.75,2,246,30.72,2,245,30.67,2,244,30.61,1,228,30.54,1,227,30.45,1
2025-06-16,18,NOIH1,4,0,68,24,9000,177,135,168,164.93,247,30.77,68.05,2,3.4,91,0.0,0,0,0,0,247,30.75,2,246,30.72,2,245,30.67,2,244,30.61,1,228,30.54,1,227,30.45,1,241,30.35,1
2025-06-17,19,NOIH1,4,0,68,24,9000,179,177,159,165.0,247,30.75,67.84,2,3.37,91,0.0,0,0,1,0,246,30.72,2,245,30.67,2,244,30.61,1,228,30.54,1,227,30.45,1,241,30.35,1,240,30.24,1
2025-06-18,20,NOIH1,4,0,68,24,9000,167,179,156,164.36,246,30.72,67.61,2,3.35,91,0.0,0,0,2,0,245,30.67,2,244,30.61,1,228,30.54,1,227,30.45,1,241,30.35,1,240,30.24,1,239,30.12,1
2025-06-19,21,NOIH1,4,0,68,24,9000,178,167,174,166.07,245,30.67,67.39,2,3.32,91,0.0,0,0,3,0,244,30.61,1,228,30.54,1,227,30.45,1,241,30.35,1,240,30.24,1,239,30.12,1,238,29.99,1
2025-06-20,22,NOIH1,4,0,68,24,9000,166,178,135,159.86,244,30.61,67.16,1,3.3,91,0.0,0,0,4,0,228,30.54,1,227,30.45,1,241,30.35,1,240,30.24,1,239,30.12,1,238,29.99,1,317,29.85,1
2025-06-21,23,NOIH1,4,0,68,24,9000,131,166,152,158.14,228,30.54,66.94,1,3.27,81,0.0,0,0,5,1,227,30.45,1,241,30.35,1,240,30.24,1,239,30.12,1,238,29.99,1,317,29.85,1,300,29.7,1
2025-06-22,24,NOIH1,4,0,68,24,9000,132,131,135,157.79,227,30.45,66.71,1,3.24,81,0.0,0,0,6,1,241,30.35,1,240,30.24,1,239,30.12,1,238,29.99,1,317,29.85,1,300,29.7,1,299,29.54,1
2025-06-23,25,NOIH1,4,0,68,24,9000,168,132,177,157.79,241,30.35,66.47,1,3.22,91,0.0,0,0,0,0,240,30.24,1,239,30.12,1,238,29.99,1,317,29.85,1,300,29.7,1,299,29.54,1,233,29.38,1
2025-06-24,26,NOIH1,4,0,68,24,9000,175,168,179,158.93,240,30.24,66.24,1,3.19,91,0.0,0,0,1,0,239,30.12,1,238,29.99,1,317,29.85,1,300,29.7,1,299,29.54,1,233,29.38,1,231,29.22,6
2025-06-25,27,NOIH1,4,0,68,24,9000,160,175,167,159.21,239,30.12,66.01,1,3.17,91,0.0,0,0,2,0,238,29.99,1,317,29.85,1,300,29.7,1,299,29.54,1,233,29.38,1,231,29.22,6,230,29.06,6
2025-06-26,28,NOIH1,4,0,68,24,9000,147,160,178,157.29,238,29.99,65.77,1,3.14,91,0.0,0,0,3,0,317,29.85,1,300,29.7,1,299,29.54,1,233,29.38,1,231,29.22,6,230,29.06,6,229,28.89,6
2025-06-27,29,NOIH1,4,0,68,24,9000,201,147,166,162.0,317,29.85,65.53,1,3.12,66,0.0,1,0,4,0,300,29.7,1,299,29.54,1,233,29.38,1,231,29.22,6,230,29.06,6,229,28.89,6,227,28.73,6
2025-06-28,30,NOIH1,4,0,68,24,9000,204,201,131,165.71,300,29.7,65.29,1,3.09,56,0.0,1,0,5,1,299,29.54,1,233,29.38,1,231,29.22,6,230,29.06,6,229,28.89,6,227,28.73,6,211,28.57,6
2025-06-29,31,NOIH1,4,0,68,24,9000,177,204,132,168.71,299,29.54,65.05,1,3.06,56,0.0,1,0,6,1,233,29.38,1,231,29.22,6,230,29.06,6,229,28.89,6,227,28.73,6,211,28.57,6,209,28.42,6
2025-06-30,32,NOIH1,4,0,68,24,9000,151,177,168,166.86,233,29.38,64.8,1,3.04,91,0.0,0,0,0,0,231,29.22,6,230,29.06,6,229,28.89,6,227,28.73,6,211,28.57,6,209,28.42,6,223,28.28,6
2025-07-01,33,NOIH1,4,0,68,24,9000,169,151,175,166.14,231,29.22,64.56,6,3.01,91,0.0,0,0,1,0,230,29.06,6,229,28.89,6,227,28.73,6,211,28.57,6,209,28.42,6,223,28.28,6,222,28.14,6
2025-07-02,34,NOIH1,4,0,68,24,9000,139,169,160,164.14,230,29.06,64.31,6,2.99,91,0.0,0,0,2,0,229,28.89,6,227,28.73,6,211,28.57,6,209,28.42,6,223,28.28,6,222,28.14,6,220,28.02,6
2025-07-03,35,NOIH1,4,0,68,24,9000,152,139,147,162.29,229,28.89,64.06,6,2.96,91,0.0,0,0,3,0,227,28.73,6,211,28.57,6,209,28.42,6,223,28.28,6,222,28.14,6,220,28.02,6,219,27.9,6
2025-07-04,36,NOIH1,4,0,68,24,9000,150,152,201,161.14,227,28.73,63.81,6,2.94,91,0.0,0,0,4,0,211,28.57,6,209,28.42,6,223,28.28,6,222,28.14,6,220,28.02,6,219,27.9,6,218,27.8,6
2025-07-05,37,NOIH1,4,0,68,24,9000,138,150,204,161.64,211,28.57,63.56,6,2.91,81,0.0,0,0,5,1,209,28.42,6,223,28.28,6,222,28.14,6,220,28.02,6,219,27.9,6,218,27.8,6,201,27.71,6
2025-07-06,38,NOIH1,4,0,68,24,9000,124,138,177,161.07,209,28.42,63.31,6,2.88,81,0.0,0,0,6,1,223,28.28,6,222,28.14,6,220,28.02,6,219,27.9,6,218,27.8,6,201,27.71,6,200,27.64,6
2025-07-07,39,NOIH1,4,0,68,24,9000,154,124,151,160.07,223,28.28,63.06,6,2.86,91,0.0,0,0,0,0,222,28.14,6,220,28.02,6,219,27.9,6,218,27.8,6,201,27.71,6,200,27.64,6,214,27.58,7
2025-07-08,40,NOIH1,4,0,68,24,9000,157,154,169,158.79,222,28.14,62.81,6,2.83,91,0.0,0,0,1,0,220,28.02,6,219,27.9,6,218,27.8,6,201,27.71,6,200,27.64,6,214,27.58,7,213,27.53,7
2025-07-09,41,NOIH1,4,0,68,24,9000,153,157,139,158.29,220,28.02,62.55,6,2.81,91,0.0,0,0,2,0,219,27.9,6,218,27.8,6,201,27.71,6,200,27.64,6,214,27.58,7,213,27.53,7,212,27.5,7
2025-07-10,42,NOIH1,4,0,68,24,9000,138,153,152,157.64,219,27.9,62.3,6,2.78,91,0.0,0,0,3,0,218,27.8,6,201,27.71,6,200,27.64,6,214,27.58,7,213,27.53,7,212,27.5,7,211,27.48,7
2025-07-11,43,NOIH1,4,0,68,24,9000,139,138,150,153.21,218,27.8,62.04,6,2.76,91,0.0,0,0,4,0,201,27.71,6,200,27.64,6,214,27.58,7,213,27.53,7,212,27.5,7,211,27.48,7,210,27.48,7
2025-07-12,44,NOIH1,4,0,68,24,9000,130,139,138,147.93,201,27.71,61.78,6,2.73,81,0.0,0,0,5,1,200,27.64,6,214,27.58,7,213,27.53,7,212,27.5,7,211,27.48,7,210,27.48,7,194,27.48,7
2025-07-13,45,NOIH1,4,0,68,24,9000,224,130,124,151.29,200,27.64,61.53,6,2.7,81,0.4,0,0,6,1,214,27.58,7,213,27.53,7,212,27.5,7,211,27.48,7,210,27.48,7,194,27.48,7,193,27.5,7
2025-07-14,46,NOIH1,4,0,68,24,9000,157,224,154,151.71,214,27.58,61.27,7,2.68,91,0.0,0,0,0,0,213,27.53,7,212,27.5,7,211,27.48,7,210,27.48,7,194,27.48,7,193,27.5,7,207,27.53,7
2025-07-15,47,NOIH1,4,0,68,24,9000,155,157,157,150.71,213,27.53,61.01,7,2.65,91,0.0,0,0,1,0,212,27.5,7,211,27.48,7,210,27.48,7,194,27.48,7,193,27.5,7,207,27.53,7,206,27.57,7
2025-07-16,48,NOIH1,4,0,68,24,9000,139,155,153,150.71,212,27.5,60.76,7,2.63,91,0.0,0,0,2,0,211,27.48,7,210,27.48,7,194,27.48,7,193,27.5,7,207,27.53,7,206,27.57,7,206,27.62,7
2025-07-17,49,NOIH1,4,0,68,24,9000,139,139,138,149.79,211,27.48,60.5,7,2.6,91,0.0,0,0,3,0,210,27.48,7,194,27.48,7,193,27.5,7,207,27.53,7,206,27.57,7,206,27.62,7,205,27.67,7
2025-07-18,50,NOIH1,4,0,68,24,9000,148,139,139,149.64,210,27.48,60.24,7,2.58,91,0.0,0,0,4,0,194,27.48,7,193,27.5,7,207,27.53,7,206,27.57,7,206,27.62,7,205,27.67,7,204,27.73,7
2025-07-19,51,NOIH1,4,0,68,24,9000,125,148,130,148.71,194,27.48,59.98,7,2.55,81,0.0,0,0,5,1,193,27.5,7,207,27.53,7,206,27.57,7,206,27.62,7,205,27.67,7,204,27.73,7,189,27.79,8
2025-07-20,52,NOIH1,4,0,68,24,9000,131,125,224,149.21,193,27.5,59.72,7,2.53,81,0.0,0,0,6,1,207,27.53,7,206,27.57,7,206,27.62,7,205,27.67,7,204,27.73,7,189,27.79,8,188,27.86,8
2025-07-21,53,NOIH1,4,0,68,24,9000,155,131,157,149.29,207,27.53,59.46,7,2.51,91,0.0,0,0,0,0,206,27.57,7,206,27.62,7,205,27.67,7,204,27.73,7,189,27.79,8,188,27.86,8,203,27.92,8
2025-07-22,54,NOIH1,4,0,68,24,9000,156,155,155,149.21,206,27.57,59.21,7,2.48,91,0.0,0,0,1,0,206,27.62,7,205,27.67,7,204,27.73,7,189,27.79,8,188,27.86,8,203,27.92,8,202,27.98,8
