date,city,city_id,hospital_id,hospital_id_enc,admissions,lag_1_admissions,lag_7_admissions,rolling_14_admissions,aqi,temp,humidity,rainfall,wind_speed,mobility_index,outbreak_index,festival_flag,holiday_flag,weekday,is_weekend,population_density,hospital_beds,staff_count
2025-05-29,Bengaluru,2,BENH1,0,138,138,138,138.0,106,23.95,71.53,5,3.82,88,0.0,0,0,3,0,11200,72,25
2025-05-30,Bengaluru,2,BENH1,0,137,138,138,137.5,105,23.79,71.36,5,3.8,88,0.0,0,0,4,0,11200,72,25
2025-05-31,Bengaluru,2,BENH1,0,132,137,138,135.67,89,23.64,71.19,5,3.77,78,0.0,0,0,5,1,11200,72,25
2025-06-01,Bengaluru,2,BENH1,0,127,132,138,133.5,88,23.5,71.02,14,3.75,78,0.0,0,0,6,1,11200,72,25
2025-06-02,Bengaluru,2,BENH1,0,141,127,138,135.0,102,23.37,70.84,14,3.73,88,0.0,0,0,0,0,11200,72,25
2025-06-03,Bengaluru,2,BENH1,0,149,141,138,137.33,102,23.25,70.66,14,3.71,88,0.0,0,0,1,0,11200,72,25
2025-06-04,Bengaluru,2,BENH1,0,142,149,138,138.0,101,23.14,70.48,14,3.68,88,0.0,0,0,2,0,11200,72,25
2025-06-05,Bengaluru,2,BENH1,0,136,142,138,137.75,100,23.04,70.29,14,3.66,88,0.0,0,0,3,0,11200,72,25
2025-06-06,Bengaluru,2,BENH1,0,230,136,137,148.0,100,22.96,70.1,14,3.64,88,0.4,0,0,4,0,11200,72,25
2025-06-07,Bengaluru,2,BENH1,0,130,230,132,146.2,84,22.89,69.91,14,3.61,78,0.0,0,0,5,1,11200,72,25
2025-06-08,Bengaluru,2,BENH1,0,127,130,127,144.45,83,22.83,69.72,13,3.59,78,0.0,0,0,6,1,11200,72,25
2025-06-09,Bengaluru,2,BENH1,0,143,127,141,144.33,98,22.79,69.52,13,3.57,88,0.0,0,0,0,0,11200,72,25
2025-06-10,Bengaluru,2,BENH1,0,147,143,149,144.54,97,22.76,69.32,13,3.54,88,0.0,0,0,1,0,11200,72,25
2025-06-11,Bengaluru,2,BENH1,0,135,147,142,143.86,97,22.74,69.11,13,3.52,88,0.0,0,0,2,0,11200,72,25
2025-06-12,Bengaluru,2,BENH1,0,144,135,136,144.29,97,22.74,68.91,13,3.49,88,0.0,0,0,3,0,11200,72,25
2025-06-13,Bengaluru,2,BENH1,0,118,144,230,142.93,96,22.74,68.7,13,3.47,88,0.0,0,1,4,0,11200,72,25
2025-06-14,Bengaluru,2,BENH1,0,124,118,130,142.36,81,22.76,68.49,13,3.45,78,0.0,0,0,5,1,11200,72,25
2025-06-15,Bengaluru,2,BENH1,0,124,124,127,142.14,81,22.78,68.27,13,3.42,78,0.0,0,0,6,1,11200,72,25
2025-06-16,Bengaluru,2,BENH1,0,147,124,143,142.57,95,22.81,68.05,13,3.4,88,0.0,0,0,0,0,11200,72,25
2025-06-17,Bengaluru,2,BENH1,0,145,147,147,142.29,95,22.84,67.84,13,3.37,88,0.0,0,0,1,0,11200,72,25
2025-06-18,Bengaluru,2,BENH1,0,135,145,135,141.79,95,22.88,67.61,13,3.35,88,0.0,0,0,2,0,11200,72,25
2025-06-19,Bengaluru,2,BENH1,0,141,135,144,142.14,95,22.91,67.39,13,3.32,88,0.0,0,0,3,0,11200,72,25
2025-06-20,Bengaluru,2,BENH1,0,141,141,118,135.79,95,22.95,67.16,12,3.3,88,0.0,0,0,4,0,11200,72,25
2025-06-21,Bengaluru,2,BENH1,0,125,141,124,135.43,80,22.99,66.94,12,3.27,78,0.0,0,0,5,1,11200,72,25
2025-06-22,Bengaluru,2,BENH1,0,122,125,124,135.07,80,23.02,66.71,12,3.24,78,0.0,0,0,6,1,11200,72,25
2025-06-23,Bengaluru,2,BENH1,0,146,122,147,135.29,94,23.04,66.47,12,3.22,88,0.0,0,0,0,0,11200,72,25
2025-06-24,Bengaluru,2,BENH1,0,148,146,145,135.36,94,23.06,66.24,12,3.19,88,0.0,0,0,1,0,11200,72,25
2025-06-25,Bengaluru,2,BENH1,0,134,148,135,135.29,94,23.08,66.01,12,3.17,88,0.0,0,0,2,0,11200,72,25
2025-06-26,Bengaluru,2,BENH1,0,138,134,141,134.86,94,23.08,65.77,12,3.14,88,0.0,0,0,3,0,11200,72,25
2025-06-27,Bengaluru,2,BENH1,0,174,138,141,138.86,174,23.07,65.53,12,3.12,63,0.0,1,0,4,0,11200,72,25
2025-06-28,Bengaluru,2,BENH1,0,171,174,125,142.21,159,23.05,65.29,12,3.09,53,0.0,1,0,5,1,11200,72,25
2025-06-29,Bengaluru,2,BENH1,0,140,171,122,143.36,158,23.02,65.05,12,3.06,53,0.0,1,0,6,1,11200,72,25
2025-06-30,Bengaluru,2,BENH1,0,149,140,146,143.5,93,22.97,64.8,12,3.04,88,0.0,0,0,0,0,11200,72,25
2025-07-01,Bengaluru,2,BENH1,0,150,149,148,143.86,93,22.91,64.56,12,3.01,88,0.0,0,0,1,0,11200,72,25
2025-07-02,Bengaluru,2,BENH1,0,136,150,134,143.93,92,22.84,64.31,12,2.99,88,0.0,0,0,2,0,11200,72,25
2025-07-03,Bengaluru,2,BENH1,0,135,136,138,143.5,92,22.76,64.06,12,2.96,88,0.0,0,0,3,0,11200,72,25
2025-07-04,Bengaluru,2,BENH1,0,138,135,174,143.29,91,22.66,63.81,12,2.94,88,0.0,0,0,4,0,11200,72,25
2025-07-05,Bengaluru,2,BENH1,0,126,138,171,143.36,76,22.55,63.56,12,2.91,78,0.0,0,0,5,1,11200,72,25
2025-07-06,Bengaluru,2,BENH1,0,129,126,140,143.86,75,22.43,63.31,12,2.88,78,0.0,0,0,6,1,11200,72,25
2025-07-07,Bengaluru,2,BENH1,0,148,129,149,144.0,89,22.31,63.06,12,2.86,88,0.0,0,0,0,0,11200,72,25
2025-07-08,Bengaluru,2,BENH1,0,147,148,150,143.93,89,22.17,62.81,12,2.83,88,0.0,0,0,1,0,11200,72,25
2025-07-09,Bengaluru,2,BENH1,0,136,147,136,144.07,88,22.03,62.55,12,2.81,88,0.0,0,0,2,0,11200,72,25
2025-07-10,Bengaluru,2,BENH1,0,134,136,135,143.79,87,21.88,62.3,12,2.78,88,0.0,0,0,3,0,11200,72,25
2025-07-11,Bengaluru,2,BENH1,0,140,134,138,141.36,86,21.72,62.04,12,2.76,88,0.0,0,0,4,0,11200,72,25
2025-07-12,Bengaluru,2,BENH1,0,121,140,126,137.79,70,21.57,61.78,12,2.73,78,0.0,0,0,5,1,11200,72,25
2025-07-13,Bengaluru,2,BENH1,0,191,121,129,141.43,70,21.41,61.53,12,2.7,78,0.4,0,0,6,1,11200,72,25
2025-07-14,Bengaluru,2,BENH1,0,143,191,148,141.0,84,21.25,61.27,13,2.68,88,0.0,0,0,0,0,11200,72,25
2025-07-15,Bengaluru,2,BENH1,0,144,143,147,140.57,83,21.1,61.01,13,2.65,88,0.0,0,0,1,0,11200,72,25
2025-07-16,Bengaluru,2,BENH1,0,132,144,136,140.29,82,20.95,60.76,13,2.63,88,0.0,0,0,2,0,11200,72,25
