date,city,city_id,hospital_id,hospital_id_enc,admissions,lag_1_admissions,lag_7_admissions,rolling_14_admissions,aqi,temp,humidity,rainfall,wind_speed,mobility_index,outbreak_index,festival_flag,holiday_flag,weekday,is_weekend,population_density,hospital_beds,staff_count
2025-05-29,Delhi,1,DELH1,0,212,212,212,212.0,304,30.8,71.53,3,3.82,88,0.0,0,0,3,0,11200,72,25
2025-05-30,Delhi,1,DELH1,0,190,212,212,201.0,303,30.56,71.36,3,3.8,88,0.0,0,0,4,0,11200,72,25
2025-05-31,Delhi,1,DELH1,0,287,190,212,229.67,286,30.32,71.19,3,3.77,78,0.0,0,0,5,1,11200,72,25
2025-06-01,Delhi,1,DELH1,0,170,287,212,214.75,285,30.08,71.02,3,3.75,78,0.0,0,0,6,1,11200,72,25
2025-06-02,Delhi,1,DELH1,0,224,170,212,216.6,299,29.84,70.84,3,3.73,88,0.0,0,0,0,0,11200,72,25
2025-06-03,Delhi,1,DELH1,0,224,224,212,217.83,298,29.61,70.66,3,3.71,88,0.0,0,0,1,0,11200,72,25
2025-06-04,Delhi,1,DELH1,0,167,224,212,210.57,296,29.38,70.48,3,3.68,88,0.0,0,0,2,0,11200,72,25
2025-06-05,Delhi,1,DELH1,0,166,167,212,205.0,295,29.15,70.29,3,3.66,88,0.0,0,0,3,0,11200,72,25
2025-06-06,Delhi,1,DELH1,0,298,166,190,215.33,294,28.94,70.1,3,3.64,88,0.4,0,0,4,0,11200,72,25
2025-06-07,Delhi,1,DELH1,0,157,298,287,209.5,277,28.73,69.91,3,3.61,78,0.0,0,0,5,1,11200,72,25
2025-06-08,Delhi,1,DELH1,0,152,157,170,204.27,276,28.54,69.72,2,3.59,78,0.0,0,0,6,1,11200,72,25
2025-06-09,Delhi,1,DELH1,0,199,152,224,203.83,290,28.36,69.52,2,3.57,88,0.0,0,0,0,0,11200,72,25
2025-06-10,Delhi,1,DELH1,0,184,199,224,202.31,289,28.19,69.32,2,3.54,88,0.0,0,0,1,0,11200,72,25
2025-06-11,Delhi,1,DELH1,0,176,184,167,200.43,288,28.03,69.11,2,3.52,88,0.0,0,0,2,0,11200,72,25
2025-06-12,Delhi,1,DELH1,0,209,176,166,200.21,286,27.89,68.91,2,3.49,88,0.0,0,0,3,0,11200,72,25
2025-06-13,Delhi,1,DELH1,0,181,209,298,199.57,285,27.76,68.7,2,3.47,88,0.0,0,1,4,0,11200,72,25
2025-06-14,Delhi,1,DELH1,0,172,181,157,191.36,269,27.65,68.49,2,3.45,78,0.0,0,0,5,1,11200,72,25
2025-06-15,Delhi,1,DELH1,0,163,172,152,190.86,268,27.55,68.27,2,3.42,78,0.0,0,0,6,1,11200,72,25
2025-06-16,Delhi,1,DELH1,0,219,163,199,190.5,282,27.46,68.05,2,3.4,88,0.0,0,0,0,0,11200,72,25
2025-06-17,Delhi,1,DELH1,0,196,219,184,188.5,281,27.39,67.84,2,3.37,88,0.0,0,0,1,0,11200,72,25
2025-06-18,Delhi,1,DELH1,0,203,196,176,191.07,281,27.32,67.61,2,3.35,88,0.0,0,0,2,0,11200,72,25
2025-06-19,Delhi,1,DELH1,0,160,203,209,190.64,280,27.27,67.39,2,3.32,88,0.0,0,0,3,0,11200,72,25
2025-06-20,Delhi,1,DELH1,0,196,160,181,183.36,279,27.22,67.16,1,3.3,88,0.0,0,0,4,0,11200,72,25
2025-06-21,Delhi,1,DELH1,0,176,196,172,184.71,263,27.18,66.94,1,3.27,78,0.0,0,0,5,1,11200,72,25
2025-06-22,Delhi,1,DELH1,0,163,176,163,185.5,262,27.15,66.71,1,3.24,78,0.0,0,0,6,1,11200,72,25
2025-06-23,Delhi,1,DELH1,0,201,163,219,185.64,277,27.12,66.47,1,3.22,88,0.0,0,0,0,0,11200,72,25
2025-06-24,Delhi,1,DELH1,0,182,201,196,185.5,276,27.1,66.24,1,3.19,88,0.0,0,0,1,0,11200,72,25
2025-06-25,Delhi,1,DELH1,0,168,182,203,184.93,275,27.07,66.01,1,3.17,88,0.0,0,0,2,0,11200,72,25
2025-06-26,Delhi,1,DELH1,0,185,168,160,183.21,275,27.05,65.77,1,3.14,88,0.0,0,0,3,0,11200,72,25
2025-06-27,Delhi,1,DELH1,0,232,185,196,186.86,354,27.02,65.53,1,3.12,63,0.0,1,0,4,0,11200,72,25
2025-06-28,Delhi,1,DELH1,0,214,232,176,189.86,339,26.99,65.29,1,3.09,53,0.0,1,0,5,1,11200,72,25
2025-06-29,Delhi,1,DELH1,0,217,214,163,193.71,338,26.95,65.05,1,3.06,53,0.0,1,0,6,1,11200,72,25
2025-06-30,Delhi,1,DELH1,0,205,217,201,192.71,272,26.91,64.8,1,3.04,88,0.0,0,0,0,0,11200,72,25
2025-07-01,Delhi,1,DELH1,0,182,205,182,191.71,272,26.86,64.56,6,3.01,88,0.0,0,0,1,0,11200,72,25
2025-07-02,Delhi,1,DELH1,0,180,182,168,190.07,271,26.79,64.31,6,2.99,88,0.0,0,0,2,0,11200,72,25
2025-07-03,Delhi,1,DELH1,0,189,180,185,192.14,270,26.72,64.06,6,2.96,88,0.0,0,0,3,0,11200,72,25
2025-07-04,Delhi,1,DELH1,0,177,189,232,190.79,269,26.64,63.81,6,2.94,88,0.0,0,0,4,0,11200,72,25
2025-07-05,Delhi,1,DELH1,0,148,177,214,188.79,254,26.54,63.56,6,2.91,78,0.0,0,0,5,1,11200,72,25
2025-07-06,Delhi,1,DELH1,0,169,148,217,189.21,253,26.43,63.31,6,2.88,78,0.0,0,0,6,1,11200,72,25
2025-07-07,Delhi,1,DELH1,0,204,169,205,189.43,267,26.31,63.06,6,2.86,88,0.0,0,0,0,0,11200,72,25
2025-07-08,Delhi,1,DELH1,0,206,204,182,191.14,266,26.18,62.81,6,2.83,88,0.0,0,0,1,0,11200,72,25
2025-07-09,Delhi,1,DELH1,0,161,206,180,190.64,265,26.04,62.55,6,2.81,88,0.0,0,0,2,0,11200,72,25
2025-07-10,Delhi,1,DELH1,0,181,161,189,190.36,264,25.88,62.3,6,2.78,88,0.0,0,0,3,0,11200,72,25
2025-07-11,Delhi,1,DELH1,0,175,181,177,186.29,263,25.72,62.04,6,2.76,88,0.0,0,0,4,0,11200,72,25
2025-07-12,Delhi,1,DELH1,0,158,175,148,182.29,246,25.54,61.78,6,2.73,78,0.0,0,0,5,1,11200,72,25
2025-07-13,Delhi,1,DELH1,0,263,158,169,185.57,245,25.36,61.53,6,2.7,78,0.4,0,0,6,1,11200,72,25
2025-07-14,Delhi,1,DELH1,0,172,263,204,183.21,259,25.17,61.27,7,2.68,88,0.0,0,0,0,0,11200,72,25
2025-07-15,Delhi,1,DELH1,0,173,172,206,182.57,258,24.97,61.01,7,2.65,88,0.0,0,0,1,0,11200,72,25
2025-07-16,Delhi,1,DELH1,0,171,173,161,181.93,257,24.77,60.76,7,2.63,88,0.0,0,0,2,0,11200,72,25
2025-07-17,Delhi,1,DELH1,0,161,171,181,179.93,255,24.57,60.5,7,2.6,88,0.0,0,0,3,0,11200,72,25
2025-07-18,Delhi,1,DELH1,0,168,161,175,179.29,254,24.37,60.24,7,2.58,88,0.0,0,0,4,0,11200,72,25
2025-07-19,Delhi,1,DELH1,0,154,168,158,179.71,237,24.17,59.98,7,2.55,78,0.0,0,0,5,1,11200,72,25
2025-07-20,Delhi,1,DELH1,0,142,154,263,177.79,236,23.97,59.72,7,2.53,78,0.0,0,0,6,1,11200,72,25
2025-07-21,Delhi,1,DELH1,0,246,142,172,180.79,250,23.78,59.46,7,2.51,88,0.0,0,0,0,0,11200,72,25
2025-07-22,Delhi,1,DELH1,0,188,246,173,179.5,248,23.59,59.21,7,2.48,88,0.0,0,0,1,0,11200,72,25
2025-07-23,Delhi,1,DELH1,0,164,188,171,179.71,247,23.42,58.95,7,2.46,88,0.0,0,0,2,0,11200,72,25
2025-07-24,Delhi,1,DELH1,0,197,164,161,180.86,246,23.25,58.69,7,2.43,88,0.0,0,0,3,0,11200,72,25
2025-07-25,Delhi,1,DELH1,0,160,197,168,179.79,244,23.09,58.43,7,2.41,88,0.0,0,0,4,0,11200,72,25
2025-07-26,Delhi,1,DELH1,0,145,160,154,178.86,228,22.95,58.18,8,2.39,78,0.0,0,0,5,1,11200,72,25
2025-07-27,Delhi,1,DELH1,0,164,145,142,171.79,227,22.82,57.92,8,2.36,78,0.0,0,0,6,1,11200,72,25
2025-07-28,Delhi,1,DELH1,0,156,164,246,170.64,241,22.7,57.67,8,2.34,88,0.0,0,1,0,0,11200,72,25
2025-07-29,Delhi,1,DELH1,0,169,156,188,170.36,240,22.6,57.41,8,2.32,88,0.0,0,0,1,0,11200,72,25
2025-07-30,Delhi,1,DELH1,0,168,169,164,170.14,238,22.51,57.16,8,2.29,88,0.0,0,0,2,0,11200,72,25
2025-07-31,Delhi,1,DELH1,0,162,168,197,170.21,237,22.44,56.91,8,2.27,88,0.0,0,0,3,0,11200,72,25
2025-08-01,Delhi,1,DELH1,0,166,162,160,170.07,236,22.38,56.65,8,2.25,88,0.0,0,0,4,0,11200,72,25
2025-08-02,Delhi,1,DELH1,0,149,166,145,169.71,221,22.34,56.4,8,2.23,78,0.0,0,0,5,1,11200,72,25
2025-08-03,Delhi,1,DELH1,0,142,149,164,169.71,220,22.32,56.15,8,2.2,78,0.0,0,0,6,1,11200,72,25
2025-08-04,Delhi,1,DELH1,0,169,142,156,164.21,234,22.3,55.9,8,2.18,88,0.0,0,0,0,0,11200,72,25
2025-08-05,Delhi,1,DELH1,0,180,169,169,163.64,233,22.3,55.65,8,2.16,88,0.0,0,0,1,0,11200,72,25
2025-08-06,Delhi,1,DELH1,0,155,180,168,163.0,232,22.32,55.41,8,2.14,88,0.0,0,0,2,0,11200,72,25
2025-08-07,Delhi,1,DELH1,0,152,155,162,159.79,232,22.34,55.16,8,2.12,88,0.0,0,0,3,0,11200,72,25
2025-08-08,Delhi,1,DELH1,0,152,152,166,159.21,231,22.38,54.92,9,2.1,88,0.0,0,0,4,0,11200,72,25
2025-08-09,Delhi,1,DELH1,0,147,152,149,159.36,216,22.42,54.68,9,2.08,78,0.0,0,0,5,1,11200,72,25
