date,city,city_id,hospital_id,hospital_id_enc,admissions,lag_1_admissions,lag_7_admissions,rolling_14_admissions,aqi,temp,humidity,rainfall,wind_speed,mobility_index,outbreak_index,festival_flag,holiday_flag,weekday,is_weekend,population_density,hospital_beds,staff_count
2025-05-29,Mumbai,0,MUMH1,0,184,184,184,184.0,149,28.95,71.53,4,3.82,79,0.0,0,0,3,0,20400,90,30
2025-05-30,Mumbai,0,MUMH1,0,190,184,184,187.0,148,28.82,71.36,4,3.8,79,0.0,0,0,4,0,20400,90,30
2025-05-31,Mumbai,0,MUMH1,0,171,190,184,181.67,133,28.67,71.19,4,3.77,69,0.0,0,0,5,1,20400,90,30
2025-06-01,Mumbai,0,MUMH1,0,187,171,184,183.0,132,28.52,71.02,42,3.75,69,0.0,0,0,6,1,20400,90,30
2025-06-02,Mumbai,0,MUMH1,0,212,187,184,188.8,146,28.36,70.84,42,3.73,79,0.0,0,0,0,0,20400,90,30
2025-06-03,Mumbai,0,MUMH1,0,207,212,184,191.83,145,28.19,70.66,42,3.71,79,0.0,0,0,1,0,20400,90,30
2025-06-04,Mumbai,0,MUMH1,0,197,207,184,192.57,145,28.02,70.48,42,3.68,79,0.0,0,0,2,0,20400,90,30
2025-06-05,Mumbai,0,MUMH1,0,195,197,184,192.88,144,27.85,70.29,42,3.66,79,0.0,0,0,3,0,20400,90,30
2025-06-06,Mumbai,0,MUMH1,0,279,195,190,202.44,143,27.68,70.1,42,3.64,79,0.4,0,0,4,0,20400,90,30
2025-06-07,Mumbai,0,MUMH1,0,184,279,171,200.6,127,27.51,69.91,42,3.61,69,0.0,0,0,5,1,20400,90,30
2025-06-08,Mumbai,0,MUMH1,0,185,184,187,199.18,126,27.34,69.72,41,3.59,69,0.0,0,0,6,1,20400,90,30
2025-06-09,Mumbai,0,MUMH1,0,207,185,212,199.83,140,27.17,69.52,41,3.57,79,0.0,0,0,0,0,20400,90,30
2025-06-10,Mumbai,0,MUMH1,0,204,207,207,200.15,140,27.02,69.32,41,3.54,79,0.0,0,0,1,0,20400,90,30
2025-06-11,Mumbai,0,MUMH1,0,192,204,197,199.57,139,26.87,69.11,41,3.52,79,0.0,0,0,2,0,20400,90,30
2025-06-12,Mumbai,0,MUMH1,0,189,192,195,199.93,138,26.73,68.91,41,3.49,79,0.0,0,0,3,0,20400,90,30
2025-06-13,Mumbai,0,MUMH1,0,167,189,279,198.29,137,26.6,68.7,41,3.47,79,0.0,0,1,4,0,20400,90,30
2025-06-14,Mumbai,0,MUMH1,0,182,167,184,199.07,121,26.48,68.49,41,3.45,69,0.0,0,0,5,1,20400,90,30
2025-06-15,Mumbai,0,MUMH1,0,182,182,185,198.71,121,26.38,68.27,41,3.42,69,0.0,0,0,6,1,20400,90,30
2025-06-16,Mumbai,0,MUMH1,0,207,182,207,198.36,135,26.29,68.05,41,3.4,79,0.0,0,0,0,0,20400,90,30
2025-06-17,Mumbai,0,MUMH1,0,202,207,204,198.0,134,26.21,67.84,41,3.37,79,0.0,0,0,1,0,20400,90,30
2025-06-18,Mumbai,0,MUMH1,0,195,202,192,197.86,134,26.15,67.61,41,3.35,79,0.0,0,0,2,0,20400,90,30
2025-06-19,Mumbai,0,MUMH1,0,186,195,189,197.21,133,26.1,67.39,41,3.32,79,0.0,0,0,3,0,20400,90,30
2025-06-20,Mumbai,0,MUMH1,0,189,186,167,190.79,132,26.06,67.16,40,3.3,79,0.0,0,0,4,0,20400,90,30
2025-06-21,Mumbai,0,MUMH1,0,174,189,182,190.07,117,26.03,66.94,40,3.27,69,0.0,0,0,5,1,20400,90,30
2025-06-22,Mumbai,0,MUMH1,0,177,174,182,189.5,116,26.02,66.71,40,3.24,69,0.0,0,0,6,1,20400,90,30
2025-06-23,Mumbai,0,MUMH1,0,201,177,207,189.07,131,26.02,66.47,40,3.22,79,0.0,0,0,0,0,20400,90,30
2025-06-24,Mumbai,0,MUMH1,0,195,201,202,188.43,131,26.03,66.24,40,3.19,79,0.0,0,0,1,0,20400,90,30
2025-06-25,Mumbai,0,MUMH1,0,192,195,195,188.43,130,26.05,66.01,40,3.17,79,0.0,0,0,2,0,20400,90,30
2025-06-26,Mumbai,0,MUMH1,0,184,192,186,188.07,130,26.08,65.77,40,3.14,79,0.0,0,0,3,0,20400,90,30
2025-06-27,Mumbai,0,MUMH1,0,222,184,189,192.0,210,26.11,65.53,40,3.12,54,0.0,1,0,4,0,20400,90,30
2025-06-28,Mumbai,0,MUMH1,0,208,222,174,193.86,195,26.15,65.29,40,3.09,44,0.0,1,0,5,1,20400,90,30
2025-06-29,Mumbai,0,MUMH1,0,213,208,177,196.07,195,26.19,65.05,40,3.06,44,0.0,1,0,6,1,20400,90,30
2025-06-30,Mumbai,0,MUMH1,0,194,213,201,195.14,129,26.24,64.8,40,3.04,79,0.0,0,0,0,0,20400,90,30
2025-07-01,Mumbai,0,MUMH1,0,194,194,195,194.57,129,26.28,64.56,40,3.01,79,0.0,0,0,1,0,20400,90,30
2025-07-02,Mumbai,0,MUMH1,0,193,194,192,194.43,129,26.32,64.31,40,2.99,79,0.0,0,0,2,0,20400,90,30
2025-07-03,Mumbai,0,MUMH1,0,188,193,184,194.57,129,26.35,64.06,40,2.96,79,0.0,0,0,3,0,20400,90,30
2025-07-04,Mumbai,0,MUMH1,0,182,188,222,194.07,129,26.38,63.81,40,2.94,79,0.0,0,0,4,0,20400,90,30
2025-07-05,Mumbai,0,MUMH1,0,171,182,208,193.86,114,26.41,63.56,40,2.91,69,0.0,0,0,5,1,20400,90,30
2025-07-06,Mumbai,0,MUMH1,0,172,171,213,193.5,114,26.42,63.31,40,2.88,69,0.0,0,0,6,1,20400,90,30
2025-07-07,Mumbai,0,MUMH1,0,206,172,194,193.86,128,26.43,63.06,40,2.86,79,0.0,0,0,0,0,20400,90,30
2025-07-08,Mumbai,0,MUMH1,0,194,206,194,193.79,128,26.42,62.81,40,2.83,79,0.0,0,0,1,0,20400,90,30
2025-07-09,Mumbai,0,MUMH1,0,188,194,193,193.5,128,26.4,62.55,40,2.81,79,0.0,0,0,2,0,20400,90,30
2025-07-10,Mumbai,0,MUMH1,0,183,188,188,193.43,128,26.38,62.3,40,2.78,79,0.0,0,0,3,0,20400,90,30
2025-07-11,Mumbai,0,MUMH1,0,192,183,182,191.29,127,26.33,62.04,40,2.76,79,0.0,0,0,4,0,20400,90,30
2025-07-12,Mumbai,0,MUMH1,0,176,192,171,189.0,112,26.28,61.78,40,2.73,69,0.0,0,0,5,1,20400,90,30
2025-07-13,Mumbai,0,MUMH1,0,264,176,172,192.64,112,26.21,61.53,40,2.7,69,0.4,0,0,6,1,20400,90,30
2025-07-14,Mumbai,0,MUMH1,0,200,264,206,193.07,126,26.13,61.27,41,2.68,79,0.0,0,0,0,0,20400,90,30
