feature,importance,importance_pct
ema_7,107770.7743856688,15.96
lag_3,79015.10415729748,11.7
lag_2,78737.36238189148,11.66
lag_1,73779.4603512943,10.93
lag_5,72626.7846236096,10.76
lag_7,50140.74777692184,7.43
temperature_lag_7,15572.058590242905,2.31
weekly_sin_2,12611.96368681533,1.87
rolling_slope_7,11390.992928200534,1.69
acceleration,9849.408603315907,1.46
admissions_diff_1,9757.677969384938,1.45
day_of_year_cos,9338.886147777948,1.38
outbreak_change_7,8863.99105799757,1.31
rolling_std_7_x_regime,8714.851384584925,1.29
outbreak_index_lag_1,7052.940141153921,1.04
aqi_change_7,6856.379392860457,1.02
day_of_week,6678.493617892265,0.99
volatility_index,6676.066264991781,0.99
temperature_lag_1,6035.075850733689,0.89
yearly_sin_2,5972.111152128716,0.88
change_from_week_ago,5841.840963846871,0.87
aqi_elderly,5582.445246419819,0.83
ema_7_x_regime,5498.203962879522,0.81
outbreak_index_lag_7,5466.148850100381,0.81
rolling_std_7,4841.078674687871,0.72
day_of_week_sin,4637.031644068126,0.69
day_of_week_cos,4159.641922622919,0.62
outbreak_capacity,3809.8192940609797,0.56
population,3069.76838991026,0.45
temp_elderly,2970.4086376258306,0.44
lag_30,2606.4912278491206,0.39
temperature_x_regime,2597.4967711787403,0.38
lag_14,2514.6501610152022,0.37
rolling_std_14,2088.762357281255,0.31
hospital_id_enc,2058.1830748846487,0.3
lag_60,2037.3174156344362,0.3
weekly_cos_2,1832.1572414125715,0.27
aqi_temp,1636.051401881767,0.24
day_of_year,1609.45000593943,0.24
outbreak_index,1556.9442191310227,0.23
aqi_x_regime,1551.916194830622,0.23
month_cos,1457.5662396997213,0.22
lag_21,1452.60736103459,0.22
yearly_cos_2,1374.0693863598365,0.2
mobility_weekend,1370.6860713213682,0.2
is_weekend,1346.5275452307292,0.2
admissions_acceleration_7,1229.6251471901112,0.18
yearly_cos_3,1195.7134690359235,0.18
day_of_year_sin,1017.5873931114163,0.15
yearly_cos_1,870.615313491651,0.13
yearly_sin_3,857.0101107316358,0.13
aqi_lag_7,551.8912188704126,0.08
prev_error_1,543.4544476090565,0.08
outbreak_winter,509.73213125978197,0.08
week_of_year,498.99972187674473,0.07
rolling_error_std_7,438.2629280771528,0.06
mobility_index,421.69330007649427,0.06
temperature,375.8620274066925,0.06
weekly_sin_1,342.6661358816283,0.05
weekly_cos_1,337.13749827657426,0.05
season_enc,333.96818331309726,0.05
population_density,325.38139125119363,0.05
prev_error_7,315.2824009827205,0.05
prev_error_2,292.6618642466409,0.04
aqi,291.1264206002067,0.04
outbreak_acceleration,279.71985698597774,0.04
error_momentum,272.221687803311,0.04
residual_ema_7,238.87378223878997,0.04
aqi_lag_1,230.99638748168945,0.03
rolling_error_mean_7,202.8457361459732,0.03
aqi_winter,196.43355726982867,0.03
month_sin,117.76396989822388,0.02
yearly_sin_1,101.26198278154645,0.01
aqi_acceleration,97.00469995396477,0.01
residual_lag_1,56.82941025495529,0.01
month_8,48.04232485166618,0.01
outbreak_index_x_regime,46.09946936368942,0.01
residual_lag_7,40.12468695640564,0.01
elderly_ratio,25.358842781611852,0.0
month,25.156318400587356,0.0
month_6,21.831852742603846,0.0
month_3,19.354718685150146,0.0
month_7,17.147061450140818,0.0
month_2,10.382892881120954,0.0
month_12,10.268737145832606,0.0
month_4,8.93252580506461,0.0
month_5,8.009335824421473,0.0
regime_indicator,5.204397235597883,0.0
month_10,2.967761448451451,0.0
hospital_capacity,1.7827542849949427,0.0
month_11,1.0816414185932703,0.0
month_1,1.079674312046596,0.0
month_9,1.0249114036560059,0.0
icu_capacity,0.0,0.0
quarter,0.0,0.0
